Crater,LocationX,LocationY,Radius
Gill,31,89,1
Peirce,93,19,4
Ruth,67,51,1
Fibiger,30,41,3
Stella,36,25,2
Index,82,87,1
Geber,51,21,4
McKellar,54,59,1
Fairouz,20,49,2
Thiessen,29,37,1
Menelaus,94,53,3
Schiller-Zucchius,58,45,3
Andronov,98,63,2
Gregory,21,20,4
Kondratyuk,38,24,2
Hind,47,92,1
Shackleton,45,82,4
McCool,50,36,3
Valera,5,82,3
Galilaei,44,65,2
Erro,18,91,3
Bridge,91,100,4
Cantor,15,83,4
Brouwer,98,30,4
Rhysling,79,67,2
Beaumont,31,13,3
Fracastorius,3,65,3
Ann,60,7,3
Madler,58,86,1
Schorr,44,34,3
Petermann,50,43,2
Bouguer,16,91,3
Lamont,29,43,4
Ingalls,40,93,1
Kramers,37,53,3
Halfway,7,67,4
Lohrmann,83,49,2
Porter,97,52,1
Hayford,96,8,4
Artem'ev,92,99,2
Pickering,11,78,3
Helmert,31,50,4
Haworth,41,16,4
Cailleux,91,27,2
Kasper,63,12,2
Letronne,49,81,1
Balboa,32,26,1
Pogson,41,35,2
Trouvelot,76,53,4
Blagg,56,18,4
Kepler,24,90,1
Viviani,45,53,4
Reimarus,69,2,3
Grave,76,36,4
Chaucer,54,16,3
Palmetto,56,39,2
Agrippa,24,66,1
Lents,66,92,4
Razumov,23,59,3
Gaudibert,33,55,3
Gagarin,74,47,3
Lewis,88,100,1
Smith,94,72,3
Nikolya,15,54,1
Philolaus,83,50,3
Xenophanes,58,47,2
Frost,36,96,1
Bragg,29,24,4
Nansen,37,79,4
Oberth,27,62,3
Saha,73,81,2
Yangel',31,46,4
Balmer-Kapteyn,77,98,2
Sharp,37,5,1
Tyndall,5,66,3
Buffon,2,22,3
Perepelkin,3,29,2
Nishina,55,10,3
Schneller,9,91,1
Petavius,70,46,4
Pupin,43,82,3
McDonald,63,81,1
Evdokimov,33,78,4
Weird,8,45,3
Drygalski,3,2,3
Hartwig,90,76,1
Shuleykin,47,65,2
Poisson,5,25,3
Heinsius,96,19,1
Delmotte,31,72,2
Jackson,59,28,1
Clerke,98,30,4
Reichenbach,5,86,2
Ricco,70,4,2
Shapley,59,10,4
Desargues,97,23,1
Hausen,66,63,3
Alphonsus,89,55,4
Dollond,71,13,1
Ian,67,92,3
